               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10884,             0.11943,            0.038204,             0.02779,            0.093508,            0.015705,           0.0032836,            0.088857,            0.089458,            0.032134,             0.00023,             0.00023,             0.09793
                   1,            0.094293,             0.12752,            0.028193,            0.083441,             0.12693,            0.078024,            0.016325,            0.080784,            0.087874,            0.022331,          0.00046958,          0.00046958,             0.09577
                   2,            0.081465,             0.12214,            0.021456,             0.79545,             0.18476,             0.14424,            0.040299,            0.066057,            0.099266,            0.016868,          0.00070748,          0.00070748,            0.093607
                   3,            0.067437,             0.12955,            0.017351,             0.81515,             0.21123,             0.21417,             0.07122,            0.056875,            0.091602,            0.015384,          0.00094243,          0.00094243,            0.091442
                   4,            0.057329,             0.12922,            0.015494,             0.64399,             0.52681,             0.47692,             0.19882,            0.045575,            0.091892,            0.014218,           0.0011732,           0.0011732,            0.089273
                   5,             0.05216,              0.1254,            0.014562,             0.70157,             0.59548,             0.63737,             0.28451,            0.041474,            0.080553,            0.013203,           0.0013985,           0.0013985,            0.087099
                   6,            0.049995,              0.1246,            0.013547,             0.53015,             0.84007,             0.76798,             0.33464,            0.038938,            0.075866,            0.011511,           0.0016172,           0.0016172,            0.084917
                   7,            0.048972,             0.12429,            0.011647,             0.58989,             0.79558,             0.73883,             0.31803,            0.042286,            0.074577,           0.0097018,           0.0018282,           0.0018282,            0.082728
                   8,            0.047697,             0.12033,            0.010388,              0.5278,             0.81559,             0.75607,             0.36788,            0.039156,            0.074515,           0.0079286,           0.0020303,           0.0020303,             0.08053
                   9,            0.047652,             0.12007,           0.0079552,             0.70186,             0.82795,             0.81709,             0.41357,            0.039077,            0.070851,           0.0053063,           0.0022226,           0.0022226,            0.078323
                  10,            0.046328,             0.12093,           0.0062166,             0.68464,             0.85078,             0.83274,             0.41899,            0.036118,            0.070106,           0.0042232,            0.002404,            0.002404,            0.076104
                  11,            0.045978,             0.12082,           0.0050437,             0.78289,             0.85988,               0.831,             0.43766,            0.035354,            0.069816,           0.0036842,           0.0025736,           0.0025736,            0.073874
                  12,             0.04537,             0.11809,           0.0043314,              0.7465,             0.88736,             0.83587,              0.4369,            0.032949,            0.071499,           0.0029438,           0.0027307,           0.0027307,            0.071631
                  13,              0.0436,             0.11864,           0.0039659,             0.78808,             0.86023,             0.87213,             0.51338,            0.032687,            0.067969,           0.0027389,           0.0028745,           0.0028745,            0.069374
                  14,            0.043585,             0.11438,           0.0034146,             0.65883,             0.80342,             0.82973,             0.42144,            0.036175,            0.070179,           0.0026706,           0.0030043,           0.0030043,            0.067104
                  15,            0.041985,             0.11763,             0.00323,             0.79744,             0.87432,             0.87048,             0.47663,            0.034842,            0.068825,           0.0020391,           0.0031195,           0.0031195,             0.06482
                  16,             0.04032,             0.11493,           0.0028712,             0.79968,             0.84933,             0.86306,             0.51821,            0.032124,            0.067731,           0.0018996,           0.0032199,           0.0032199,             0.06252
                  17,            0.040416,             0.11308,           0.0027579,             0.81756,             0.87429,             0.87759,             0.53381,            0.030441,            0.074865,           0.0022146,           0.0033049,           0.0033049,            0.060205
                  18,            0.040086,             0.11336,           0.0025114,              0.8013,             0.87781,             0.86494,             0.48753,            0.033959,            0.072966,           0.0022555,           0.0033743,           0.0033743,            0.057874
                  19,            0.038695,             0.11358,           0.0024069,             0.74686,             0.76492,             0.78257,             0.46833,            0.038223,            0.087379,           0.0026765,            0.003428,            0.003428,            0.055528
                  20,            0.039143,             0.11729,           0.0022989,              0.4538,             0.83036,             0.61834,             0.23628,            0.041993,            0.068407,            0.001729,            0.003466,            0.003466,            0.053166
                  21,            0.047139,             0.11674,            0.002627,             0.67892,             0.83403,             0.81095,             0.39397,             0.03536,            0.085139,           0.0025535,           0.0034883,           0.0034883,            0.050788
                  22,            0.044444,             0.11177,            0.002625,              0.7674,             0.88799,             0.87982,              0.4963,            0.031449,            0.068732,           0.0019126,           0.0034951,           0.0034951,            0.048395
                  23,            0.044076,             0.11322,           0.0025936,             0.75907,             0.81827,             0.82369,             0.50202,            0.032521,            0.066148,           0.0018581,           0.0034868,           0.0034868,            0.045987
                  24,            0.041526,             0.11081,           0.0023921,             0.76017,             0.86258,             0.83802,             0.52365,            0.029795,            0.067687,           0.0018957,           0.0034638,           0.0034638,            0.043564
                  25,             0.04143,             0.11261,           0.0023507,             0.80561,             0.87094,             0.88757,             0.55753,            0.028407,            0.067772,           0.0017781,           0.0034265,           0.0034265,            0.041127
                  26,            0.038911,              0.1095,           0.0023635,               0.759,             0.89677,             0.85537,             0.56042,            0.028667,            0.065653,           0.0019136,           0.0033757,           0.0033757,            0.038676
                  27,            0.037968,             0.11316,            0.002137,              0.8283,             0.92366,             0.91259,             0.57398,            0.027139,            0.064179,           0.0015487,           0.0033121,           0.0033121,            0.036212
                  28,            0.036724,             0.11064,           0.0020817,             0.84833,             0.89219,             0.91128,             0.57118,            0.026472,            0.066795,           0.0014361,           0.0032365,           0.0032365,            0.033736
                  29,            0.035577,             0.11014,           0.0020053,             0.86066,             0.89579,             0.90139,             0.57279,            0.029898,            0.070395,           0.0014858,           0.0031499,           0.0031499,             0.03125
                  30,            0.035888,             0.10922,           0.0019572,             0.79275,             0.88964,             0.87661,             0.57534,            0.026154,             0.06595,           0.0015945,           0.0030533,           0.0030533,            0.028753
                  31,            0.034962,             0.11161,           0.0018463,             0.79906,             0.92687,             0.89298,             0.57531,            0.026651,            0.067193,           0.0013808,           0.0029479,           0.0029479,            0.026248
                  32,            0.033541,             0.11176,           0.0017579,              0.8303,             0.90055,             0.90517,             0.57956,            0.025877,            0.072048,           0.0012724,           0.0028349,           0.0028349,            0.023735
                  33,            0.033114,             0.11073,           0.0017307,              0.8241,             0.87977,             0.89504,             0.58422,            0.025751,            0.066714,           0.0011808,           0.0027157,           0.0027157,            0.021216
                  34,            0.034862,             0.11196,           0.0016402,             0.84788,             0.89475,             0.90817,             0.59541,            0.026194,             0.06646,           0.0010811,           0.0025915,           0.0025915,            0.018691
                  35,            0.031736,              0.1075,           0.0015797,             0.81664,             0.88831,             0.89578,             0.57675,              0.0284,            0.067306,           0.0012205,           0.0024638,           0.0024638,            0.016164
                  36,            0.031981,             0.10847,           0.0014873,             0.84431,             0.89409,             0.90681,             0.59174,            0.026915,            0.068362,           0.0009395,           0.0023342,           0.0023342,            0.013634
                  37,            0.031816,             0.11212,           0.0013565,             0.83869,             0.92747,             0.91687,             0.60109,            0.027035,            0.065376,          0.00086643,           0.0022042,           0.0022042,            0.011104
                  38,            0.031616,             0.10709,           0.0012761,             0.86336,             0.88899,               0.904,             0.60279,            0.025172,            0.067674,          0.00091077,           0.0020754,           0.0020754,           0.0085754
                  39,            0.030904,              0.1076,           0.0013057,             0.84435,              0.8856,              0.8967,             0.59163,            0.025436,            0.066831,          0.00075194,           0.0019494,           0.0019494,           0.0060494
                  40,            0.030596,             0.10822,            0.001233,             0.89029,             0.90052,             0.91824,             0.62031,            0.024197,            0.064041,           0.0007324,           0.0018278,           0.0018278,           0.0035278
